Material,SALDO,C Promedio S/.,COSTO,C Promedio US$,PRECIO PUBLICO
TRIPLAY 6 MM LUPUNA                                                                                 ,-1,0.00,S/ 0.00,0.00,
TRIPLAY 6 MM TRIMASA                                                                                ,27,33.13,S/ 49.00,10.52,
TRIPLAY 8 MM TRIMASA                                                                                ,11,46.40,S/ 54.75,14.74,
TRIZ                                                                                                ,-7,0.00,S/ 3.75,0.00,S/ 7.00
TUBO 1/2 SR FANAPLAST,,,S/ 7.80,,S/ 12.00
"TUBO 3/4"" LUZ -HUESO MAHECSA                                       ",,,S/ 1.75,,
TUBO 4 DESAGUE FANAPLAST,,,S/ 17.50,,S/ 23.00
UÑA DE LAVATORIO F/FUNDIDO PAR                                                                      ,,,S/ 4.00,,
MANTA NEGRA X MT,,,,,S/ 7.50
BRASO DE DUCHA PVC,,,,,S/ 9.00
LLANTA SIN ARO,,,,,S/ 35.00
LLANTA COMPLETA 14X3 TRUPER,,,S/ 45.00,,S/ 52.00
"TUBO 1 1/2"" AGUA CLASE 7.5 S/R SANTO DOMINGO                                                        ",38,10.42,S/ 12.30,3.31,
"TUBO 1 1/2"" C/R AGUA M-PLAST                                                                        ",10,21.86,S/ 25.80,6.94,
"TUBO 1 1/2"" C/R AGUA PLASTICA                                                                       ",17,21.41,S/ 25.27,6.80,
"TUBO 1 1/2"" LUZ PLASTICA                                                                            ",8,5.08,S/ 6.00,1.61,
"TUBO 1 1/2"" S/R AGUA NICOLL                                                                         ",20,17.29,S/ 20.40,4.38,
"TUBO 1 1/2"" S/R AGUA PLASTICA                                                                       ",4,13.98,S/ 16.50,4.44,
"TUBO 1""  CLASE 10 AGUA INYECTOPLAST                                                                 ",13,7.46,S/ 8.80,2.54,
"TUBO 1"" C/R AGUA INYECTOPLAST                                                                       ",5,13.14,S/ 15.50,4.47,
"TUBO 1"" C/R AGUA NICOLL                                                                             ",35,28.51,S/ 33.65,9.05,
"TUBO 1"" C/R AGUA PAVCO                                                                              ",57,29.67,S/ 35.01,9.42,
"TUBO 1"" C/R AGUA PLASTICA                                                                           ",105,20.06,S/ 23.67,5.99,
"TUBO 1"" CLASE 10- SANTO DOMINGO                                                                     ",38,7.20,S/ 8.50,2.29,
"TUBO 1"" CPVC PAVCO                                                                                  ",10,57.62,S/ 67.99,18.30,
"TUBO 1"" LUZ - BLANCO PLASTICA                                                                       ",42,2.77,S/ 5.50,0.88,
"TUBO 1"" LUZ - GRIS NICOLL                                                                           ",24,3.42,S/ 4.04,1.09,
"TUBO 1"" LUZ - GRIS PAVCO                                                                            ",230,5.09,S/ 6.00,1.62,
"TUBO 1"" LUZ - KINPLAST                                                                              ",-3,0.00,S/ 0.00,0.00,
"TUBO 1"" LUZ SAP  INYECTOPLAST                                                                       ",45,8.23,S/ 9.71,2.61,
"TUBO 1"" S/R AGUA                                                                                    ",-10,0.00,S/ 0.00,0.00,
"TUBO 1"" S/R AGUA NICOLL                                                                             ",8,10.20,S/ 12.03,3.24,
"TUBO 1"" S/R AGUA PAVCO                                                                              ",15,19.49,S/ 23.00,4.93,
"TUBO 1"" S/R AGUA PLASTICA                                                                           ",14,8.24,S/ 9.72,2.62,
"TUBO 1"" S/R CLASE 10 AGUA PLASTICA                                                                  ",60,11.13,S/ 13.14,3.14,
"TUBO 1/2"" AGUA CLASE 10 PLASTICA                                                                    ",23,4.66,S/ 5.50,1.48,
"TUBO 1/2"" AGUA CLASE 10 SPx5M G.M TIGRE                                                             ",14,3.98,S/ 4.70,1.35,
"TUBO 1/2"" AGUA CLASE 10 URx5M G.M TIGRE                                                             ",86,5.84,S/ 6.90,1.95,
"TUBO 1/2"" C/R AGUA GERFOR                                                                           ",27,8.33,S/ 9.82,2.64,
"TUBO 1/2"" C/R AGUA INYECTOPLAST                                                                     ",1,6.53,S/ 7.70,2.22,
"TUBO 1/2"" C/R AGUA MATUSITA                                                                         ",22,9.93,S/ 11.72,3.15,
"TUBO 1/2"" C/R AGUA NICOLL                                                                           ",57,14.18,S/ 18.50,3.59,
"TUBO 1/2"" C/R AGUA PAVCO                                                                            ",43,16.48,S/ 20.00,4.17,
"TUBO 1/2"" C/R AGUA PLASTICA                                                                         ",47,11.94,S/ 17.00,3.02,
"TUBO 1/2"" C/R AGUA SANTA ROSA                                                                       ",-3,0.00,S/ 0.00,0.00,
"TUBO 1/2"" C/R AGUA SANTO DOMINGO                                                                    ",-10,0.00,S/ 0.00,0.00,
"TUBO 1/2"" CLASE 10 AGUA INYECTOPLAST                                                                ",19,4.49,S/ 5.30,1.53,
"TUBO 1/2"" CLASE 10 AGUA SANTO DOMINGO                                                               ",39,4.24,S/ 5.00,1.35,
"TUBO 1/2"" CPVC PAVCO                                                                                ",94,15.92,S/ 27.00,4.03,
"TUBO 1/2"" LUZ SAP  INYECTOPLAST                                                                     ",45,5.10,S/ 6.02,1.62,
"TUBO 1/2"" S/R AGUA FANAPLAST                                                                           ",,,S/ 7.80,,
"TUBO 1/2"" C/R AGUA FANAPLAST                                                                           ",,,S/ 13.50,,
"TUBO 1/2"" S/R AGUA NICOLL                                                                           ",54,7.48,S/ 8.82,1.89,
"TUBO 1/2"" S/R AGUA PAVCO                                                                            ",17,6.90,S/ 8.14,2.19,
"TUBO 1/2"" S/R AGUA GERFOR                                                                            ",,,S/ 16.93,,
"TUBO 1/2"" S/R CLASE 10 AGUA PLASTICA                                                                ",33,4.66,S/ 5.50,1.48,
"TUBO 2"" C/R AGUA NICOLL                                                                             ",5,60.19,S/ 71.03,19.12,
"TUBO 2"" C/R AGUA PLASTICA                                                                           ",14,33.05,S/ 39.00,10.50,
"TUBO 2"" C-10  S/R AGUA SANTO DOMINGO                                                                ",12,20.11,S/ 23.73,6.39,
"TUBO 2"" DESAGUE                                                                                     ",6,5.68,S/ 6.70,1.80,
"TUBO 2"" DESAGUE ECOPLAST                                                                            ",-25,0.00,S/ 0.00,0.00,
"TUBO 2"" DESAGUE GERFOR                                                                              ",20,6.66,S/ 7.86,2.12,
"TUBO 2"" DESAGUE GRIS SANTO DOMINGO                                                                  ",16,5.66,S/ 6.68,1.43,
"TUBO 2"" DESAGUE NICOLL                                                                              ",91,11.47,S/ 13.50,2.90,
"TUBO 2"" DESAGUE PAVCO                                                                               ",17,12.52,S/ 15.80,3.17,
"TUBO 2"" DESAGUE PLASTICA                                                                            ",51,9.51,S/ 11.50,2.41,
"TUBO 2"" LUZ PESADO PLASTICA                                                                         ",-13,0.00,S/ 0.00,0.00,
"TUBO 2"" LUZ SAP  INYECTOPLAST                                                                       ",20,22.03,S/ 26.00,7.00,
"TUBO 2"" LUZ SEL PLASTICA                                                                            ",-15,7.54,S/ 8.90,2.40,
"TUBO 2"" S/R AGUA PLASTICA                                                                           ",6,17.80,S/ 21.00,5.65,
"TUBO 2"" S/R C-7.5 AGUA INYECTOPLAST                                                                 ",5,31.53,S/ 37.21,7.98,
"TUBO 2"" S/R CLASE 7.5 AGUA PLASTICA                                                                 ",11,20.08,S/ 23.70,6.38,
"TUBO 3"" C-10  GRIS SANTO DOMINGO                                                                    ",10,48.31,S/ 57.00,15.34,
"TUBO 3"" C-7.5 GRIS SANTO DOMINGO                                                                    ",5,32.20,S/ 38.00,10.23,
"TUBO 3"" DESAGUE NICOLL                                                                              ",13,12.06,S/ 14.22,3.83,
"TUBO 3"" DESAGUE PAVCO                                                                               ",-1,0.00,S/ 0.00,0.00,
"TUBO 3"" DESAGUE PLASTICA                                                                            ",9,9.67,S/ 11.41,2.45,
TUBO 3/4 S/R CLASE 10 AGUA PLASTICA                                                                 ,-8,0.00,S/ 0.00,0.00,
"TUBO 3/4"" C/R AGUA NICOLL                                                                           ",46,13.82,S/ 25.80,4.39,
"TUBO 3/4"" C/R AGUA PAVCO                                                                            ",92,19.52,S/ 23.04,4.94,
"TUBO 3/4"" C/R AGUA PLASTICA                                                                         ",94,14.51,S/ 17.12,4.61,
"TUBO 3/4"" CPVC PAVCO                                                                                ",56,30.23,S/ 35.67,8.53,
"TUBO 3/4"" LUZ - BLANCO PAVCO                                                                        ",-15,0.00,S/ 0.00,0.00,
"TUBO 3/4"" LUZ - GRIS NICOLL                                                                         ",605,3.36,S/ 5.22,0.85,
"TUBO 3/4"" LUZ - GRIS PAVCO                                                                          ",707,4.43,S/ 6.12,1.22,
"TUBO 3/4"" LUZ - GRIS SANTO DOMINGO                                                                  ",-16,2.20,S/ 2.60,0.70,
"TUBO 3/4"" LUZ - HUESO GERFOR                                                                        ",69,1.61,S/ 4.40,0.51,
"TUBO 3/4"" LUZ - HUESO PLASTICA                                                                      ",501,2.97,S/ 3.50,0.75,
"TUBO 3/4"" LUZ - HUESO SANTO DOMINGO                                                                 ",176,2.95,S/ 3.60,0.75,
"TUBO 3/4"" LUZ - HUESO PLASTICO DEL NORTE                                            ",,,S/ 3.45,,S/ 5.50
"TUBO 3/4"" LUZ - HUESO FANAPLAST                 ",,,S/ 1.75,,S/ 3.00
"TUBO 3/4"" LUZ SAP  INYECTOPLAST                                                                     ",45,6.71,S/ 7.92,2.13,
